area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
6000,3,2,4,yes,no,no,no,yes,1,no,furnished
7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished
3750,3,1,2,yes,no,no,no,no,0,no,unfurnished
5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
5076,3,1,1,no,no,no,no,no,0,no,unfurnished
3180,3,1,1,no,no,no,no,no,0,no,unfurnished
6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished
7700,2,1,1,yes,no,no,no,no,0,no,unfurnished
7000,3,1,1,yes,no,no,no,no,3,no,furnished
3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
3000,2,1,2,yes,no,no,no,yes,0,no,furnished
6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
2400,3,1,1,no,no,no,no,no,0,no,semi-furnished
5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
7424,3,1,1,no,no,no,no,no,0,no,unfurnished
12090,4,2,2,yes,no,no,no,no,2,yes,furnished
7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
6525,3,2,4,yes,no,no,no,no,1,no,furnished
3650,3,1,2,yes,no,no,no,no,0,no,unfurnished
3635,2,1,1,no,no,no,no,no,0,no,unfurnished
4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished
4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
5640,2,1,1,no,no,no,no,no,0,no,semi-furnished
3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
1836,2,1,1,no,no,yes,no,no,0,no,semi-furnished
3150,3,1,2,yes,no,yes,no,no,0,no,furnished
5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
8100,2,1,1,yes,no,no,no,no,1,no,unfurnished
3930,2,1,1,no,no,no,no,no,0,no,unfurnished
6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished
11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished
2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
6360,2,1,2,yes,no,no,no,no,0,no,unfurnished
3480,3,1,2,no,no,no,no,no,1,no,semi-furnished
8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
